id,name,artists,album,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
2NFadq6pUeiVEihLvUlOSr,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Bizarrap, Rauw Alejandro","Rauw Alejandro: Bzrp Music Sessions, Vol. 56",2023-06-21,65,0.774,0.572,11,-6.0,1,0.0506,0.3,0.00326,0.315,0.489,128.01,audio_features,spotify:track:2NFadq6pUeiVEihLvUlOSr,https://api.spotify.com/v1/tracks/2NFadq6pUeiVEihLvUlOSr,https://api.spotify.com/v1/audio-analysis/2NFadq6pUeiVEihLvUlOSr,191254,4
3A1BJKGMsa8JqO8M8zztyq,Me Gustas Tu,Manu Chao,Me Gustas Tu EP,2023-02-13,59,0.657,0.742,11,-6.822,0,0.0827,0.662,0.493,0.222,0.909,175.943,audio_features,spotify:track:3A1BJKGMsa8JqO8M8zztyq,https://api.spotify.com/v1/tracks/3A1BJKGMsa8JqO8M8zztyq,https://api.spotify.com/v1/audio-analysis/3A1BJKGMsa8JqO8M8zztyq,239987,4
2lwwrWVKdf3LR9lbbhnr6R,Float On,Modest Mouse,Good News For People Who Love Bad News,2004-04-05,71,0.649,0.888,6,-4.807,1,0.0293,0.013,2.23e-06,0.0888,0.553,100.975,audio_features,spotify:track:2lwwrWVKdf3LR9lbbhnr6R,https://api.spotify.com/v1/tracks/2lwwrWVKdf3LR9lbbhnr6R,https://api.spotify.com/v1/audio-analysis/2lwwrWVKdf3LR9lbbhnr6R,208467,4
77RNVzAVwqWiZrZuWqMV2i,Nancy From Now On,Father John Misty,Fear Fun,2012-05-01,61,0.535,0.646,0,-9.168,1,0.0278,0.526,0.0406,0.0908,0.501,107.078,audio_features,spotify:track:77RNVzAVwqWiZrZuWqMV2i,https://api.spotify.com/v1/tracks/77RNVzAVwqWiZrZuWqMV2i,https://api.spotify.com/v1/audio-analysis/77RNVzAVwqWiZrZuWqMV2i,234160,4
6uW4QhvYTl6q24OBbWTt9s,Convite,Lamparina,Manda Dizer,2018-08-06,44,0.47,0.621,11,-7.369,0,0.062,0.59,0.0,0.127,0.618,117.952,audio_features,spotify:track:6uW4QhvYTl6q24OBbWTt9s,https://api.spotify.com/v1/tracks/6uW4QhvYTl6q24OBbWTt9s,https://api.spotify.com/v1/audio-analysis/6uW4QhvYTl6q24OBbWTt9s,213384,4
0nrlsriZeFXhuFno9bVLNg,secrecy,Ethan Regan,secrecy,2023-08-23,49,0.642,0.338,1,-12.145,1,0.0333,0.466,0.000239,0.15,0.189,140.098,audio_features,spotify:track:0nrlsriZeFXhuFno9bVLNg,https://api.spotify.com/v1/tracks/0nrlsriZeFXhuFno9bVLNg,https://api.spotify.com/v1/audio-analysis/0nrlsriZeFXhuFno9bVLNg,210000,4
5vbnQr1tWSSREmcIONIUm9,Backwards Directions,Abby Sage,Backwards Directions,2022-09-07,57,0.852,0.376,10,-10.434,1,0.0485,0.408,0.452,0.0956,0.484,114.999,audio_features,spotify:track:5vbnQr1tWSSREmcIONIUm9,https://api.spotify.com/v1/tracks/5vbnQr1tWSSREmcIONIUm9,https://api.spotify.com/v1/audio-analysis/5vbnQr1tWSSREmcIONIUm9,187072,4
2FwDApgXk91kXvqy2oB7dz,Simulation Swarm,Big Thief,Dragon New Warm Mountain I Believe In You,2022-02-11,66,0.703,0.578,1,-9.103,1,0.0728,0.446,0.0024,0.102,0.67,105.204,audio_features,spotify:track:2FwDApgXk91kXvqy2oB7dz,https://api.spotify.com/v1/tracks/2FwDApgXk91kXvqy2oB7dz,https://api.spotify.com/v1/audio-analysis/2FwDApgXk91kXvqy2oB7dz,252734,4
04mAOoQNsXmDJlyupJwmkO,Waiting Room,Phoebe Bridgers,"Lost Ark Studio Compilation, Vol. 8",2016-08-12,75,0.531,0.289,2,-10.065,1,0.0286,0.339,0.000358,0.134,0.12,129.753,audio_features,spotify:track:04mAOoQNsXmDJlyupJwmkO,https://api.spotify.com/v1/tracks/04mAOoQNsXmDJlyupJwmkO,https://api.spotify.com/v1/audio-analysis/04mAOoQNsXmDJlyupJwmkO,393962,4
7CoMBpPTwQi2wPT0U0Nr9b,State Lines,Novo Amor,Birthplace,2018-10-19,73,0.509,0.31,9,-10.623,1,0.0313,0.959,0.229,0.0963,0.151,137.474,audio_features,spotify:track:7CoMBpPTwQi2wPT0U0Nr9b,https://api.spotify.com/v1/tracks/7CoMBpPTwQi2wPT0U0Nr9b,https://api.spotify.com/v1/audio-analysis/7CoMBpPTwQi2wPT0U0Nr9b,208653,3
2xFmXeAKtzrG1ZQBT6adKc,Keep The Rain,Searows,Guard Dog,2022-09-30,58,0.471,0.123,1,-17.655,1,0.0326,0.95,0.00973,0.0908,0.227,131.948,audio_features,spotify:track:2xFmXeAKtzrG1ZQBT6adKc,https://api.spotify.com/v1/tracks/2xFmXeAKtzrG1ZQBT6adKc,https://api.spotify.com/v1/audio-analysis/2xFmXeAKtzrG1ZQBT6adKc,287677,4
6GyFQqsD80Kwdna2jWHyjY,Settle Down,Palace,Chase The Light,2015-06-05,33,0.268,0.393,0,-9.488,1,0.0354,0.529,0.000956,0.0896,0.158,149.724,audio_features,spotify:track:6GyFQqsD80Kwdna2jWHyjY,https://api.spotify.com/v1/tracks/6GyFQqsD80Kwdna2jWHyjY,https://api.spotify.com/v1/audio-analysis/6GyFQqsD80Kwdna2jWHyjY,219912,4
