id,name,artists,album,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
2EjXfH91m7f8HiJN1yQg97,Rockin' Around The Christmas Tree,Brenda Lee,Merry Christmas From Brenda Lee,1964-10-19,83,0.598,0.47,8,-8.744,1,0.0496,0.617,0.0,0.505,0.879,67.086,audio_features,spotify:track:2EjXfH91m7f8HiJN1yQg97,https://api.spotify.com/v1/tracks/2EjXfH91m7f8HiJN1yQg97,https://api.spotify.com/v1/audio-analysis/2EjXfH91m7f8HiJN1yQg97,126267,4
7vQbuQcyTflfCIOu3Uzzya,Jingle Bell Rock,Bobby Helms,Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol),1957-12-02,80,0.754,0.424,2,-8.463,1,0.0363,0.643,0.0,0.0652,0.806,119.705,audio_features,spotify:track:7vQbuQcyTflfCIOu3Uzzya,https://api.spotify.com/v1/tracks/7vQbuQcyTflfCIOu3Uzzya,https://api.spotify.com/v1/audio-analysis/7vQbuQcyTflfCIOu3Uzzya,130973,4
5hslUAKq9I9CG2bAulFkHN,It's the Most Wonderful Time of the Year,Andy Williams,The Andy Williams Christmas Album,1963-11-24,80,0.24,0.598,7,-8.435,1,0.0369,0.766,0.0,0.117,0.776,201.629,audio_features,spotify:track:5hslUAKq9I9CG2bAulFkHN,https://api.spotify.com/v1/tracks/5hslUAKq9I9CG2bAulFkHN,https://api.spotify.com/v1/audio-analysis/5hslUAKq9I9CG2bAulFkHN,151933,3
46pF1zFimM582ss1PrMy68,Christmas (Baby Please Come Home),Darlene Love,A Christmas Gift For You From Phil Spector,1963,66,0.325,0.759,8,-7.146,1,0.053,0.395,0.000362,0.0773,0.36,126.627,audio_features,spotify:track:46pF1zFimM582ss1PrMy68,https://api.spotify.com/v1/tracks/46pF1zFimM582ss1PrMy68,https://api.spotify.com/v1/audio-analysis/46pF1zFimM582ss1PrMy68,166453,4
4PS1e8f2LvuTFgUs1Cn3ON,The Christmas Song (Merry Christmas To You),Nat King Cole,The Christmas Song (Expanded Edition),1962,75,0.32,0.21,6,-15.231,1,0.0345,0.92,8.01e-05,0.138,0.208,73.196,audio_features,spotify:track:4PS1e8f2LvuTFgUs1Cn3ON,https://api.spotify.com/v1/tracks/4PS1e8f2LvuTFgUs1Cn3ON,https://api.spotify.com/v1/audio-analysis/4PS1e8f2LvuTFgUs1Cn3ON,192160,5
1foCxQtxBweJtZmdxhEHVO,Santa Baby (with Henri René & His Orchestra),"Eartha Kitt, Henri René and His Orchestra",Heavenly Eartha,2002,75,0.7,0.139,8,-12.346,1,0.0607,0.902,0.0,0.185,0.49,84.485,audio_features,spotify:track:1foCxQtxBweJtZmdxhEHVO,https://api.spotify.com/v1/tracks/1foCxQtxBweJtZmdxhEHVO,https://api.spotify.com/v1/audio-analysis/1foCxQtxBweJtZmdxhEHVO,206067,4
3XsaSIPWvM61RIFfeb0BBR,White Christmas - 1947 Version,"Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra",White Christmas,1945-01-01,68,0.234,0.202,9,-16.222,1,0.0332,0.906,5.55e-05,0.387,0.187,96.593,audio_features,spotify:track:3XsaSIPWvM61RIFfeb0BBR,https://api.spotify.com/v1/tracks/3XsaSIPWvM61RIFfeb0BBR,https://api.spotify.com/v1/audio-analysis/3XsaSIPWvM61RIFfeb0BBR,183613,4
0oPdaY4dXtc3ZsaG17V972,Feliz Navidad,José Feliciano,Feliz Navidad,2002-09-24,73,0.513,0.831,2,-9.004,1,0.0383,0.55,0.0,0.336,0.963,148.837,audio_features,spotify:track:0oPdaY4dXtc3ZsaG17V972,https://api.spotify.com/v1/tracks/0oPdaY4dXtc3ZsaG17V972,https://api.spotify.com/v1/audio-analysis/0oPdaY4dXtc3ZsaG17V972,182067,4
2uFaJJtFpPDc5Pa95XzTvg,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,A Winter Romance,1959-01-01,81,0.451,0.241,1,-14.014,1,0.0352,0.912,2.66e-06,0.175,0.698,134.009,audio_features,spotify:track:2uFaJJtFpPDc5Pa95XzTvg,https://api.spotify.com/v1/tracks/2uFaJJtFpPDc5Pa95XzTvg,https://api.spotify.com/v1/audio-analysis/2uFaJJtFpPDc5Pa95XzTvg,117147,4
77khP2fIVhSW23NwxrRluh,A Holly Jolly Christmas,Burl Ives,Have A Holly Jolly Christmas,1965-10-01,69,0.682,0.375,0,-13.056,1,0.0303,0.579,0.0,0.076,0.888,140.453,audio_features,spotify:track:77khP2fIVhSW23NwxrRluh,https://api.spotify.com/v1/tracks/77khP2fIVhSW23NwxrRluh,https://api.spotify.com/v1/audio-analysis/77khP2fIVhSW23NwxrRluh,135533,4
5ASM6Qjiav2xPe7gRkQMsQ,Sleigh Ride,The Ronettes,A Christmas Gift For You From Phil Spector,1963,75,0.529,0.772,2,-7.013,1,0.0287,0.403,2.21e-06,0.316,0.853,91.751,audio_features,spotify:track:5ASM6Qjiav2xPe7gRkQMsQ,https://api.spotify.com/v1/tracks/5ASM6Qjiav2xPe7gRkQMsQ,https://api.spotify.com/v1/audio-analysis/5ASM6Qjiav2xPe7gRkQMsQ,181267,4
030mot3ZKR3oskfMsqDB2R,Have Yourself A Merry Little Christmas,Judy Garland,Meet Me In St. Louis,1944-01-01,62,0.251,0.181,6,-14.816,1,0.0335,0.969,0.00448,0.26,0.108,89.616,audio_features,spotify:track:030mot3ZKR3oskfMsqDB2R,https://api.spotify.com/v1/tracks/030mot3ZKR3oskfMsqDB2R,https://api.spotify.com/v1/audio-analysis/030mot3ZKR3oskfMsqDB2R,162333,5
2pXpURmn6zC5ZYDMms6fwa,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",Greatest Christmas Songs,1999-08-23,77,0.724,0.276,7,-12.25,1,0.0599,0.76,0.0,0.116,0.718,112.874,audio_features,spotify:track:2pXpURmn6zC5ZYDMms6fwa,https://api.spotify.com/v1/tracks/2pXpURmn6zC5ZYDMms6fwa,https://api.spotify.com/v1/audio-analysis/2pXpURmn6zC5ZYDMms6fwa,155933,4
5P8Xvy5tzhmfyfA6GplQ8h,I Want a Hippopotamus for Christmas (Hippo the Hero),Gayla Peevey,I Want a Hippopotamus for Christmas (Hippo the Hero),1953-11-11,68,0.853,0.338,7,-9.124,1,0.0491,0.832,0.00602,0.135,0.927,113.881,audio_features,spotify:track:5P8Xvy5tzhmfyfA6GplQ8h,https://api.spotify.com/v1/tracks/5P8Xvy5tzhmfyfA6GplQ8h,https://api.spotify.com/v1/audio-analysis/5P8Xvy5tzhmfyfA6GplQ8h,155467,4
75dfH68JDisE8dDaD4KlVY,Little Saint Nick,The Beach Boys,Christmas With The Beach Boys,2004,63,0.546,0.655,6,-7.015,1,0.0456,0.464,0.0,0.0791,0.961,129.385,audio_features,spotify:track:75dfH68JDisE8dDaD4KlVY,https://api.spotify.com/v1/tracks/75dfH68JDisE8dDaD4KlVY,https://api.spotify.com/v1/audio-analysis/75dfH68JDisE8dDaD4KlVY,130680,4
4HEOgBHRCExyYVeTyrXsnL,Jingle Bells - Remastered 1999,Frank Sinatra,A Jolly Christmas From Frank Sinatra,1957-09,70,0.511,0.34,8,-13.119,1,0.049,0.727,0.0,0.0977,0.952,174.661,audio_features,spotify:track:4HEOgBHRCExyYVeTyrXsnL,https://api.spotify.com/v1/tracks/4HEOgBHRCExyYVeTyrXsnL,https://api.spotify.com/v1/audio-analysis/4HEOgBHRCExyYVeTyrXsnL,120693,4
4qP2V09IpTct5A1ZSnr1zh,"You're A Mean One, Mr. Grinch","Thurl Ravenscroft, Boris Karloff",Dr. Seuss' How The Grinch Stole Christmas! (Original TV Soundtrack),1966-12-18,60,0.517,0.484,2,-10.93,0,0.318,0.952,0.0075,0.129,0.42,141.914,audio_features,spotify:track:4qP2V09IpTct5A1ZSnr1zh,https://api.spotify.com/v1/tracks/4qP2V09IpTct5A1ZSnr1zh,https://api.spotify.com/v1/audio-analysis/4qP2V09IpTct5A1ZSnr1zh,315707,3
3QiAAp20rPC3dcAtKtMaqQ,Blue Christmas,Elvis Presley,Elvis' Christmas Album,1957-10-15,74,0.465,0.27,4,-16.661,1,0.0425,0.9,0.00104,0.145,0.58,94.518,audio_features,spotify:track:3QiAAp20rPC3dcAtKtMaqQ,https://api.spotify.com/v1/tracks/3QiAAp20rPC3dcAtKtMaqQ,https://api.spotify.com/v1/audio-analysis/3QiAAp20rPC3dcAtKtMaqQ,129173,4
